Fall,Major,Total,Male,Female
1980,Agr & Environmental Cmc & Educ,5,4,1
1980,Agricultural & Applied Econ,315,277,38
1980,Agricultural Communications,79,31,48
1980,Agricultural Education,26,21,5
1980,Agricultural Engineering,83,75,8
1980,Agricultural Sciences,81,57,24
1980,Agronomy,173,133,40
1980,Animal Sciences,487,245,242
1980,Application Design,11,0,11
1980,CORE CURR,158,124,34
1980,DAIRY SCI,51,39,12
1980,DIETETICS,32,0,32
1980,EXT EDUC,13,5,8
1980,FAM&CON EC,20,0,20
1980,Food Science & Human Nutrition,209,82,127
1980,Forestry,124,95,29
1980,GEN AGR,74,57,17
1980,GEN AGRIC,1,1,0
1980,GEN H ECON,5,0,5
1980,H DVL-FAM,36,0,36
1980,HOME EC ED,1,0,1
1980,HOME ECON,171,0,171
1980,HOME MGMT,2,0,2
1980,HR&FS,1,0,1
1980,HR&FS A&ID,6,0,6
1980,HR&FS GEN,1,0,1
1980,HU DEV&FAM,14,1,13
1980,Horticulture,48,28,20
1980,INST MGMT,8,1,7
1980,INT DSGN,140,9,131
1980,Industrial Agriculture,70,57,13
1980,MKT TEXT&A,103,2,101
1980,Mechanical Agriculture,49,49,0
1980,Nutritional Sciences,30,11,19
1980,ORN HORT,122,53,69
1980,PLANT PATH,34,28,6
1980,Physics,362,336,26
1980,REST MGMT,53,30,23
1980,Secondary Education,16,8,8
1980,Spanish,46,18,28
1980,Speech & Hearing Science,158,13,145
1980,Statistics,11,6,5
1980,TEXT-APPRL,0,0,0
1980,Teaching of Biological Science,1,1,0
1980,Teaching of Chemistry,7,3,4
1980,Teaching of English Sec Lang,75,15,60
1980,Teaching of French,15,1,14
1980,Teaching of German,9,2,7
1980,Teaching of Latin,2,0,2
1980,Teaching of Mathematics,28,10,18
1980,VOC H E ED,0,0,0
1980,Wood Sciences,0,0,0
1981,Agr & Environmental Cmc & Educ,5,4,1
1981,Agricultural & Applied Econ,349,289,60
1981,Agricultural Communications,72,21,51
1981,Agricultural Education,20,17,3
1981,Agricultural Engineering,89,82,7
1981,Agricultural Sciences,75,52,23
1981,Agronomy,201,156,45
1981,Animal Sciences,498,252,246
1981,Application Design,7,0,7
1981,CORE CURR,155,112,43
1981,DAIRY SCI,67,46,21
1981,DIETETICS,34,1,33
1981,EXT EDUC,14,5,9
1981,FAM&CON EC,13,0,13
1981,Food Science & Human Nutrition,204,77,127
1981,Forestry,119,91,28
1981,GEN AGR,47,37,10
1981,GEN AGRIC,1,1,0
1981,GEN H ECON,7,0,7
1981,H DVL-FAM,40,1,39
1981,HOME ECON,151,0,151
1981,HOME MGMT,1,0,1
1981,HR&FS,2,0,2
1981,HR&FS A&ID,3,0,3
1981,HR&FS GEN,8,0,8
1981,HU DEV&FAM,13,0,13
1981,Horticulture,59,33,26
1981,INST MGMT,8,1,7
1981,INT DSGN,168,9,159
1981,Industrial Agriculture,73,57,16
1981,MKT TEXT&A,98,2,96
1981,Mechanical Agriculture,49,49,0
1981,Nutritional Sciences,43,14,29
1981,ORN HORT,105,61,44
1981,PLANT PATH,40,30,10
1981,Physics,356,325,31
1981,REST MGMT,52,33,19
1981,Secondary Education,20,8,12
1981,Spanish,49,16,33
1981,Speech & Hearing Science,139,11,128
1981,Statistics,10,7,3
1981,TEXT-APPRL,0,0,0
1981,Teaching of Chemistry,9,5,4
1981,Teaching of English Sec Lang,76,14,62
1981,Teaching of French,12,1,11
1981,Teaching of German,7,1,6
1981,Teaching of Latin,2,1,1
1981,Teaching of Mathematics,20,6,14
1981,Teaching of Physics,1,0,1
1981,VOC H E ED,0,0,0
1981,Wood Sciences,0,0,0
1982,Agr & Environmental Cmc & Educ,4,4,0
1982,Agricultural & Applied Econ,386,322,64
1982,Agricultural Communications,86,30,56
1982,Agricultural Education,25,20,5
1982,Agricultural Engineering,109,102,7
1982,Agricultural Sciences,68,50,18
1982,Agronomy,179,132,47
1982,Animal Sciences,508,261,247
1982,Application Design,12,0,12
1982,CONSM ECON,2,1,1
1982,CORE CURR,115,76,39
1982,DAIRY SCI,67,44,23
1982,DIETETICS,46,0,46
1982,EXT EDUC,12,2,10
1982,FAM&CON EC,9,0,9
1982,Food Science & Human Nutrition,206,72,134
1982,Forestry,100,76,24
1982,GEN AGR,44,33,11
1982,GEN H ECON,15,0,15
1982,H DVL-FAM,70,5,65
1982,HOME ECON,41,0,41
1982,HOME MGMT,9,0,9
1982,HR&FS A&ID,7,0,7
1982,HR&FS GEN,9,0,9
1982,HU DEV&FAM,18,4,14
1982,Horticulture,63,34,29
1982,INST MGMT,8,0,8
1982,INT DSGN,172,10,162
1982,Industrial Agriculture,56,43,13
1982,MKT TEXT&A,125,1,124
1982,Mechanical Agriculture,37,37,0
1982,Nutritional Sciences,40,14,26
1982,ORN HORT,92,42,50
1982,PLANT PATH,41,29,12
1982,Physics,365,337,28
1982,REST MGMT,56,32,24
1982,Secondary Education,21,9,12
1982,Spanish,46,15,31
1982,Speech & Hearing Science,140,11,129
1982,Statistics,15,13,2
1982,TEXT-APPRL,0,0,0
1982,Teaching of Biological Science,1,1,0
1982,Teaching of Chemistry,5,2,3
1982,Teaching of English Sec Lang,77,18,59
1982,Teaching of French,12,1,11
1982,Teaching of German,3,3,0
1982,Teaching of Latin,5,3,2
1982,Teaching of Mathematics,26,8,18
1982,Teaching of Physics,1,0,1
1982,VOC H E ED,0,0,0
1982,Wood Sciences,0,0,0
1983,Agr & Environmental Cmc & Educ,5,5,0
1983,Agricultural & Applied Econ,429,356,73
1983,Agricultural Communications,85,27,58
1983,Agricultural Education,26,23,3
1983,Agricultural Engineering,98,91,7
1983,Agricultural Sciences,77,50,27
1983,Agronomy,168,128,40
1983,Animal Sciences,474,218,256
1983,Application Design,18,0,18
1983,CONSM ECON,14,2,12
1983,CORE CURR,103,73,30
1983,DAIRY SCI,67,46,21
1983,DIETETICS,69,1,68
1983,EXT EDUC,12,6,6
1983,FAM&CON EC,6,0,6
1983,Food Science & Human Nutrition,220,84,136
1983,Forestry,86,65,21
1983,GEN AGR,34,28,6
1983,GEN H ECON,7,0,7
1983,H DVL-FAM,82,3,79
1983,HOME ECON,3,0,3
