Fall,Major,Total,Male,Female
1980,Aero & Astro Engineering,379,351,28
1980,Agricultural Engineering,106,93,13
1980,CER ENGR,156,125,31
1980,CERAMICS,4,4,0
1980,Civil Engineering,902,792,110
1980,Computer Engineering,286,252,34
1980,Computer Science,480,367,113
1980,ENGR MECH,34,28,6
1980,ENGR PHYS,105,97,8
1980,ENV ENGR,33,27,6
1980,ENV SCI,5,5,0
1980,Electrical Engineering,1645,1497,148
1980,GEN ENGR,618,485,133
1980,Industrial Engineering,188,130,58
1980,METAL ENGR,190,159,31
1980,Mechanical Engineering,1012,934,78
1980,Nuclear Engineering,187,178,9
1980,Theoretical & Applied Mechans,0,0,0
1981,Aero & Astro Engineering,435,405,30
1981,Agricultural Engineering,101,89,12
1981,CER ENGR,135,106,29
1981,CERAMICS,3,2,1
1981,Civil Engineering,811,701,110
1981,Computer Engineering,323,275,48
1981,Computer Science,583,430,153
1981,ENGR MECH,47,36,11
1981,ENGR PHYS,98,91,7
1981,ENV ENGR,29,26,3
1981,ENV SCI,12,9,3
1981,Electrical Engineering,1561,1402,159
1981,GEN ENGR,586,446,140
1981,Industrial Engineering,188,135,53
1981,METAL ENGR,196,162,34
1981,Mechanical Engineering,1021,939,82
1981,Nuclear Engineering,197,184,13
1981,TCH CS,3,0,3
1981,Theoretical & Applied Mechans,0,0,0
1982,Aero & Astro Engineering,481,443,38
1982,Agricultural Engineering,97,88,9
1982,CER ENGR,117,87,30
1982,CERAMICS,1,0,1
1982,Civil Engineering,672,568,104
1982,Computer Engineering,357,301,56
1982,Computer Science,648,466,182
1982,ENGR MECH,42,35,7
1982,ENGR PHYS,88,79,9
1982,ENV ENGR,30,25,5
1982,ENV SCI,15,11,4
1982,Electrical Engineering,1512,1353,159
1982,GEN ENGR,552,400,152
1982,Industrial Engineering,180,124,56
1982,METAL ENGR,175,142,33
1982,Mechanical Engineering,954,868,86
1982,Nuclear Engineering,186,171,15
1982,TCH CS,9,5,4
1982,Theoretical & Applied Mechans,0,0,0
1983,Aero & Astro Engineering,473,428,45
1983,Agricultural Engineering,95,90,5
1983,CER ENGR,155,121,34
1983,CERAMICS,1,0,1
1983,Civil Engineering,611,517,94
1983,Computer Engineering,426,348,78
1983,Computer Science,684,482,202
1983,ENGR MECH,50,40,10
1983,ENGR PHYS,81,71,10
1983,ENV ENGR,31,23,8
1983,ENV SCI,13,10,3
1983,Electrical Engineering,1657,1475,182
1983,GEN ENGR,470,324,146
1983,Industrial Engineering,154,102,52
1983,METAL ENGR,185,153,32
1983,Mechanical Engineering,867,789,78
1983,Nuclear Engineering,148,138,10
1983,TCH CS,4,2,2
1983,Theoretical & Applied Mechans,0,0,0
1984,Aero & Astro Engineering,495,445,50
1984,Agricultural Engineering,78,73,5
1984,CER ENGR,156,117,39
1984,Civil Engineering,552,469,83
1984,Computer Engineering,484,408,76
1984,Computer Science,600,443,157
1984,ENGR MECH,46,36,10
1984,ENGR PHYS,81,73,8
1984,ENV ENGR,37,30,7
1984,ENV SCI,10,8,2
1984,Electrical Engineering,1755,1543,212
1984,GEN ENGR,432,305,127
1984,Industrial Engineering,135,89,46
1984,METAL ENGR,165,136,29
1984,Mechanical Engineering,879,793,86
1984,Nuclear Engineering,142,131,11
1984,TCH CS,3,2,1
1984,Theoretical & Applied Mechans,0,0,0
1985,Aero & Astro Engineering,618,557,61
1985,Agricultural Engineering,73,68,5
1985,CER ENGR,180,137,43
1985,CERAMICS,1,0,1
1985,Civil Engineering,529,452,77
1985,Computer Engineering,501,436,65
1985,Computer Science,538,414,124
1985,ENGR MECH,55,45,10
1985,ENGR PHYS,92,77,15
1985,ENV ENGR,29,22,7
1985,ENV SCI,11,6,5
1985,Electrical Engineering,1945,1711,234
1985,GEN ENGR,451,313,138
1985,Industrial Engineering,158,109,49
1985,METAL ENGR,169,142,27
1985,Mechanical Engineering,968,869,99
1985,Nuclear Engineering,140,127,13
1985,TCH CS,1,0,1
1985,Theoretical & Applied Mechans,0,0,0
1986,Aero & Astro Engineering,599,540,59
1986,Agricultural Engineering,74,72,2
1986,CER ENGR,204,156,48
1986,Civil Engineering,553,470,83
1986,Computer Engineering,463,407,56
1986,Computer Science,488,383,105
1986,ENGR MECH,57,44,13
1986,ENGR PHYS,108,100,8
1986,ENV ENGR,32,28,4
1986,ENV SCI,11,6,5
1986,Electrical Engineering,2041,1813,228
1986,GEN ENGR,504,347,157
1986,Industrial Engineering,202,133,69
1986,METAL ENGR,185,155,30
1986,Mechanical Engineering,1010,896,114
1986,Nuclear Engineering,152,140,12
1986,TCH CS,2,1,1
1986,Theoretical & Applied Mechans,0,0,0
1987,Aero & Astro Engineering,655,595,60
1987,Agricultural Engineering,60,58,2
1987,CER ENGR,246,194,52
1987,Civil Engineering,567,474,93
1987,Computer Engineering,407,374,33
1987,Computer Science,442,366,76
1987,ENGR MECH,44,35,9
1987,ENGR PHYS,102,87,15
1987,ENV ENGR,39,30,9
1987,ENV SCI,11,8,3
1987,Electrical Engineering,2004,1764,240
1987,GEN ENGR,553,401,152
1987,Industrial Engineering,201,140,61
1987,METAL ENGR,174,147,27
1987,Mechanical Engineering,1006,887,119
1987,Nuclear Engineering,146,132,14
1987,TCH CS,1,0,1
1987,Theoretical & Applied Mechans,0,0,0
1988,Aero & Astro Engineering,610,552,58
1988,Agricultural Engineering,78,74,4
1988,CER ENGR,248,199,49
1988,CERAMICS,1,1,0
1988,Civil Engineering,641,544,97
1988,Computer Engineering,368,333,35
1988,Computer Science,447,377,70
1988,ENGR MECH,59,53,6
1988,ENGR PHYS,109,90,19
1988,ENV ENGR,45,33,12
1988,ENV SCI,15,10,5
1988,Electrical Engineering,1864,1645,219
1988,GEN ENGR,588,453,135
1988,Industrial Engineering,209,146,63
1988,METAL ENGR,166,139,27
1988,Mechanical Engineering,971,854,117
1988,Nuclear Engineering,157,138,19
1988,Theoretical & Applied Mechans,0,0,0
1989,Aero & Astro Engineering,513,460,53
1989,Agricultural Engineering,83,77,6
1989,CER ENGR,237,203,34
1989,CERAMICS,2,2,0
1989,Civil Engineering,682,586,96
1989,Computer Engineering,313,286,27
1989,Computer Science,418,354,64
1989,ENGR MECH,90,77,13
1989,ENGR PHYS,121,107,14
1989,ENV ENGR,37,27,10
1989,ENV SCI,14,9,5
1989,Electrical Engineering,1594,1406,188
1989,GEN ENGR,626,483,143
1989,Industrial Engineering,261,192,69
1989,METAL ENGR,167,141,26
1989,Mechanical Engineering,854,765,89
1989,Nuclear Engineering,178,158,20
1989,Theoretical & Applied Mechans,0,0,0
1990,Aero & Astro Engineering,479,430,49
1990,Agricultural Engineering,86,76,10
