Fall,Major,Total,Male,Female
1980,Anthropology,78,42,36
1980,Asian Studies,17,10,7
1980,Astronomy,16,13,3
1980,Atmospheric Sciences,22,17,5
1980,Biochemistry,86,66,20
1980,Biology,139,83,56
1980,Biophysics & Computnl Biology,21,18,3
1980,Chemical Engineering,530,419,111
1980,Chemical Physics,6,5,1
1980,Chemistry,531,408,123
1980,Classical Philology,9,7,2
1980,Classics,9,8,1
1980,Comparative Literature,42,22,20
1980,English,108,50,58
1980,Entomology,30,23,7
1980,French,40,7,33
1980,GEN CURR,2408,1015,1393
1980,Genetics,6,3,3
1980,Geography,43,30,13
1980,Geology,115,79,36
1980,German,26,13,13
1980,HR&FS,61,0,61
1980,History,82,46,36
1980,Italian,2,2,0
1980,LAS TCH MATH,1,0,1
1980,Linguistics,63,32,31
1980,Mathematics,139,119,20
1980,Microbiology,59,34,25
1980,Molecular & Integrative Physi,57,43,14
1980,PRE-JOURN,57,24,33
1980,PRE-MED,28,18,10
1980,PUB ADMIN,19,12,7
1980,Philosophy,33,28,5
1980,Plant Biology,31,18,13
1980,Political Science,46,29,17
1980,Psychology,160,86,74
1980,Slavic Languages & Literature,13,6,7
1980,Sociology,46,28,18
1980,Speech Communication,49,27,22
1980,TCH BIOL,17,6,11
1980,TCH ENGL,55,8,47
1980,TCH SOC ST,10,5,5
1980,TCH SPEECH,9,5,4
1980,UNCLASS,0,0,0
1980,Zoology,0,0,0
1981,Anthropology,64,32,32
1981,Asian Studies,18,10,8
1981,Astronomy,15,13,2
1981,Atmospheric Sciences,22,17,5
1981,Biochemistry,84,59,25
1981,Biology,161,91,70
1981,Biophysics & Computnl Biology,25,19,6
1981,Chemical Engineering,567,444,123
1981,Chemical Physics,7,5,2
1981,Chemistry,537,409,128
1981,Classical Philology,11,9,2
1981,Classics,8,5,3
1981,Comparative Literature,44,20,24
1981,English,101,51,50
1981,Entomology,28,21,7
1981,French,33,6,27
1981,GEN CURR,2461,1103,1358
1981,Genetics,5,2,3
1981,Geography,43,30,13
1981,Geology,114,76,38
